#id subset paternal_id maternal_id gender population
HG00264 3 0 0 1 GBR
HG00265 3 0 0 1 GBR
HG00266 1 0 0 2 FIN
HG00267 2 0 0 1 FIN
HG00268 2 0 0 2 FIN
HG00269 1 0 0 2 FIN
HG00271 1 0 0 1 FIN
HG00272 1 0 0 2 FIN
HG00273 3 0 0 1 FIN
HG00274 2 0 0 2 FIN
HG00275 2 0 0 2 FIN
HG00276 2 0 0 2 FIN
HG00277 1 0 0 1 FIN
HG00278 2 0 0 1 FIN
HG00280 3 0 0 1 FIN
HG00281 3 0 0 2 FIN
HG00282 3 0 0 2 FIN
HG00284 3 0 0 1 FIN
HG00285 2 0 0 2 FIN
HG00288 1 0 0 2 FIN
HG00290 1 0 0 1 FIN
HG00304 3 0 0 2 FIN
HG00306 1 0 0 2 FIN
HG00308 1 0 0 1 FIN
HG00309 2 0 0 2 FIN
HG00310 3 0 0 1 FIN
HG00311 3 0 0 1 FIN
HG00313 2 0 0 2 FIN
HG00315 1 0 0 2 FIN
HG00318 2 0 0 2 FIN
HG00319 1 0 0 2 FIN
HG00320 2 0 0 2 FIN
HG00321 2 0 0 1 FIN
HG00323 1 0 0 2 FIN
HG00324 2 0 0 2 FIN
HG00325 1 0 0 1 FIN
HG00326 1 0 0 2 FIN
HG00327 2 0 0 2 FIN
HG00328 1 0 0 2 FIN
HG00329 2 0 0 1 FIN
HG00330 2 0 0 2 FIN
HG00331 2 0 0 2 FIN
HG00332 2 0 0 2 FIN
HG00334 3 0 0 2 FIN
HG00335 1 0 0 1 FIN
HG00336 2 0 0 1 FIN
HG00337 3 0 0 2 FIN
HG00338 1 0 0 1 FIN
HG00339 2 0 0 2 FIN
HG00341 2 0 0 1 FIN
HG00342 2 0 0 1 FIN
HG00343 3 0 0 2 FIN
HG00344 1 0 0 2 FIN
HG00345 3 0 0 1 FIN
HG00346 2 0 0 2 FIN
HG00349 3 0 0 2 FIN
HG00350 3 0 0 2 FIN
HG00351 1 0 0 1 FIN
HG00353 1 0 0 2 FIN
HG00355 1 0 0 2 FIN
HG00356 2 0 0 2 FIN
HG00357 3 0 0 2 FIN
HG00358 3 0 0 1 FIN
HG00360 1 0 0 1 FIN
HG00361 3 0 0 2 FIN
HG00362 2 0 0 2 FIN
HG00364 1 0 0 2 FIN
HG00365 2 0 0 2 FIN
HG00366 3 0 0 1 FIN
HG00367 2 0 0 2 FIN
HG00368 1 0 0 2 FIN
HG00369 2 0 0 1 FIN
HG00371 3 0 0 1 FIN
HG00372 1 0 0 1 FIN
HG00373 3 0 0 2 FIN
HG00375 2 0 0 1 FIN
HG00376 1 0 0 2 FIN
HG00378 3 0 0 2 FIN
HG00379 1 0 0 2 FIN
HG00380 2 0 0 2 FIN
HG00381 1 0 0 2 FIN
HG00382 1 0 0 1 FIN
HG00383 2 0 0 2 FIN
HG00384 1 0 0 2 FIN
HG00403 2 0 0 1 CHS
HG00404 3 0 0 2 CHS
HG00406 1 0 0 1 CHS
HG00407 1 0 0 2 CHS
HG00409 3 0 0 1 CHS
HG00410 1 0 0 2 CHS
HG00419 1 0 0 2 CHS
HG00421 3 0 0 1 CHS
HG00422 1 0 0 2 CHS
HG00428 1 0 0 2 CHS
HG00436 3 0 0 1 CHS
HG00437 1 0 0 2 CHS
HG00442 1 0 0 1 CHS
HG00443 2 0 0 2 CHS
HG00445 2 0 0 1 CHS
HG00446 3 0 0 2 CHS
HG00448 3 0 0 1 CHS
HG00449 1 0 0 2 CHS
HG00451 1 0 0 1 CHS
HG00452 1 0 0 2 CHS
HG00457 3 0 0 1 CHS
HG00458 1 0 0 2 CHS
HG00463 2 0 0 1 CHS
HG00464 1 0 0 2 CHS
HG00472 3 0 0 1 CHS
HG00473 1 0 0 2 CHS
HG00475 3 0 0 1 CHS
HG00476 2 0 0 2 CHS
HG00478 2 0 0 1 CHS
HG00479 1 0 0 2 CHS
HG00500 3 0 0 1 CHS
HG00513 2 0 0 2 CHS
HG00524 1 0 0 1 CHS
HG00525 2 0 0 2 CHS
HG00530 1 0 0 1 CHS
HG00531 1 0 0 2 CHS
HG00533 2 0 0 1 CHS
HG00534 3 0 0 2 CHS
HG00536 1 0 0 1 CHS
HG00537 2 0 0 2 CHS
HG00542 2 0 0 1 CHS
HG00543 2 0 0 2 CHS
HG00551 3 0 0 2 PUR
HG00553 3 0 0 1 PUR
HG00554 1 0 0 2 PUR
HG00556 2 0 0 1 CHS
HG00557 2 0 0 2 CHS
HG00559 2 0 0 1 CHS
HG00560 3 0 0 2 CHS
HG00565 3 0 0 1 CHS
HG00566 3 0 0 2 CHS
HG00580 1 0 0 1 CHS
HG00581 1 0 0 2 CHS
HG00583 3 0 0 1 CHS
HG00584 2 0 0 2 CHS
HG00589 2 0 0 1 CHS
HG00590 2 0 0 2 CHS
HG00592 3 0 0 1 CHS
HG00593 1 0 0 2 CHS
HG00595 2 0 0 1 CHS
HG00596 3 0 0 2 CHS
HG00598 3 0 0 1 CHS
HG00599 3 0 0 2 CHS
HG00607 1 0 0 1 CHS
HG00608 3 0 0 2 CHS
HG00610 3 0 0 1 CHS
HG00611 2 0 0 2 CHS
HG00613 1 0 0 1 CHS
HG00614 3 0 0 2 CHS
HG00619 1 0 0 1 CHS
HG00620 3 0 0 2 CHS
HG00622 2 0 0 1 CHS
HG00623 3 0 0 2 CHS
HG00625 2 0 0 1 CHS
HG00626 2 0 0 2 CHS
HG00628 1 0 0 1 CHS
HG00629 2 0 0 2 CHS
HG00631 3 0 0 1 CHS
HG00632 3 0 0 2 CHS
HG00634 1 0 0 1 CHS
HG00637 2 0 0 1 PUR
HG00638 1 0 0 2 PUR
HG00640 2 0 0 1 PUR
HG00641 2 0 0 2 PUR
HG00650 2 0 0 1 CHS
HG00651 2 0 0 2 CHS
HG00653 2 0 0 1 CHS
HG00654 3 0 0 2 CHS
HG00656 1 0 0 1 CHS
HG00657 3 0 0 2 CHS
HG00662 2 0 0 1 CHS
HG00663 3 0 0 2 CHS
HG00671 3 0 0 1 CHS
HG00672 3 0 0 2 CHS
HG00674 1 0 0 1 CHS
HG00675 1 0 0 2 CHS
HG00683 2 0 0 1 CHS
HG00684 1 0 0 2 CHS
HG00689 1 0 0 1 CHS
HG00690 1 0 0 2 CHS
HG00692 2 0 0 1 CHS
HG00693 1 0 0 2 CHS
HG00698 3 0 0 1 CHS
HG00699 2 0 0 2 CHS
HG00701 2 0 0 1 CHS
HG00704 1 0 0 1 CHS
HG00705 2 0 0 2 CHS
HG00707 3 0 0 1 CHS
HG00708 1 0 0 2 CHS
HG00717 2 0 0 2 CHS
HG00728 3 0 0 1 CHS
HG00729 2 0 0 2 CHS
HG00731 2 0 0 1 PUR
HG00732 3 0 0 2 PUR
HG00734 2 0 0 2 PUR
HG00736 2 0 0 1 PUR
HG00737 3 0 0 2 PUR
HG00739 2 0 0 1 PUR
HG00740 2 0 0 2 PUR
HG00742 3 0 0 1 PUR
HG00743 1 0 0 2 PUR
HG00759 3 0 0 2 CDX
HG00766 3 0 0 2 CDX
HG00844 1 0 0 1 CDX
HG00851 2 0 0 2 CDX
HG00864 2 0 0 2 CDX
HG00867 2 HG00866 0 2 CDX
HG00879 2 0 0 2 CDX
HG00881 2 0 0 1 CDX
HG00956 1 0 0 2 CDX
HG00978 1 0 0 2 CDX
HG00982 2 0 0 1 CDX
HG01028 3 0 0 1 CDX
HG01029 3 0 0 2 CDX
HG01031 3 0 0 1 CDX
HG01046 3 0 0 2 CDX
HG01047 2 0 0 1 PUR
HG01048 2 0 0 1 PUR
HG01049 2 0 0 2 PUR
HG01051 2 0 0 1 PUR
HG01052 2 0 0 2 PUR
HG01054 3 0 0 1 PUR
HG01055 2 0 0 2 PUR
HG01058 3 0 0 2 PUR
HG01060 1 0 0 1 PUR
HG01061 1 0 0 2 PUR
HG01063 1 0 0 1 PUR
HG01064 3 0 0 2 PUR
HG01066 3 0 0 1 PUR
HG01067 1 0 0 2 PUR
HG01069 1 0 0 1 PUR
HG01070 2 0 0 2 PUR
HG01072 1 0 0 1 PUR
HG01073 1 0 0 2 PUR
HG01075 3 0 0 1 PUR
HG01077 3 0 0 2 PUR
HG01079 1 0 0 1 PUR
HG01080 2 0 0 2 PUR
HG01082 3 0 0 1 PUR
HG01083 2 0 0 2 PUR
HG01085 2 0 0 1 PUR
HG01086 3 0 0 2 PUR
HG01088 3 0 0 1 PUR
HG01089 1 0 0 2 PUR
HG01092 1 0 0 2 PUR
HG01094 3 0 0 1 PUR
HG01095 3 0 0 2 PUR
HG01097 3 0 0 1 PUR
HG01098 1 0 0 2 PUR
HG01101 1 0 0 1 PUR
HG01102 3 0 0 2 PUR
HG01104 3 0 0 1 PUR
HG01105 3 0 0 2 PUR
HG01107 1 0 0 1 PUR
HG01108 2 0 0 2 PUR
HG01110 3 0 0 1 PUR
HG01111 1 0 0 2 PUR
HG01112 1 0 0 1 CLM
HG01113 2 0 0 2 CLM
HG01119 3 0 0 2 CLM
HG01121 3 0 0 1 CLM
HG01122 3 0 0 2 CLM
HG01124 2 0 0 1 CLM
HG01125 1 0 0 2 CLM
HG01130 3 0 0 1 CLM
HG01131 2 0 0 2 CLM
HG01133 1 0 0 1 CLM
HG01134 2 0 0 2 CLM
HG01136 2 0 0 1 CLM
HG01137 2 0 0 2 CLM
HG01139 1 0 0 1 CLM
HG01140 3 0 0 2 CLM
HG01142 1 0 0 1 CLM
HG01148 1 0 0 1 CLM
HG01149 3 0 0 2 CLM
HG01161 3 0 0 1 PUR
HG01162 2 0 0 2 PUR
HG01164 3 0 0 1 PUR
HG01167 2 0 0 1 PUR
HG01168 3 0 0 2 PUR
HG01170 2 0 0 1 PUR
HG01171 1 0 0 2 PUR
HG01173 2 0 0 1 PUR
HG01174 3 0 0 2 PUR
HG01176 2 0 0 1 PUR
HG01177 3 0 0 2 PUR
HG01182 3 0 0 1 PUR
HG01183 1 0 0 2 PUR
HG01187 2 0 0 1 PUR
HG01188 1 0 0 2 PUR
HG01190 1 0 0 1 PUR
HG01191 3 0 0 2 PUR
HG01197 3 0 0 1 PUR
HG01198 1 0 0 2 PUR
HG01200 3 0 0 1 PUR
HG01204 3 0 0 1 PUR
HG01205 2 0 0 2 PUR
HG01241 1 0 0 1 PUR
HG01242 2 0 0 2 PUR
HG01247 3 0 0 1 PUR
HG01248 3 0 0 2 PUR
HG01250 2 0 0 1 CLM
HG01251 3 0 0 2 CLM
HG01253 1 0 0 1 CLM
HG01254 2 0 0 2 CLM
HG01256 3 0 0 1 CLM
HG01257 2 0 0 2 CLM
HG01259 2 0 0 1 CLM
HG01260 1 0 0 2 CLM
HG01269 2 0 0 2 CLM
HG01271 3 0 0 1 CLM
HG01272 3 0 0 2 CLM
HG01275 3 0 0 2 CLM
HG01277 1 0 0 1 CLM
HG01280 3 0 0 1 CLM
HG01281 3 0 0 2 CLM
HG01284 3 0 0 2 CLM
HG01286 2 0 0 1 PUR
HG01302 3 0 0 1 PUR
HG01303 1 0 0 2 PUR
HG01305 3 0 0 1 PUR
HG01308 1 0 0 1 PUR
HG01311 3 0 0 1 PUR
HG01312 1 0 0 2 PUR
HG01323 1 0 0 2 PUR
HG01325 3 0 0 1 PUR
HG01326 1 0 0 2 PUR
HG01334 2 0 0 1 GBR
HG01341 2 0 0 1 CLM
HG01342 2 0 0 2 CLM
HG01344 1 0 0 1 CLM
HG01345 3 0 0 2 CLM
HG01348 1 0 0 2 CLM
HG01350 3 0 0 1 CLM
HG01351 2 0 0 2 CLM
HG01353 2 0 0 1 CLM
HG01354 3 0 0 2 CLM
HG01356 3 0 0 1 CLM
HG01357 1 0 0 2 CLM
HG01359 1 0 0 1 CLM
HG01360 2 0 0 2 CLM
HG01362 1 0 0 1 CLM
HG01363 1 0 0 2 CLM
HG01365 2 0 0 1 CLM
HG01366 2 0 0 2 CLM
HG01369 2 0 0 2 CLM
HG01372 1 0 0 2 CLM
HG01374 2 0 0 1 CLM
HG01375 3 0 0 2 CLM
HG01377 2 0 0 1 CLM
HG01378 1 0 0 2 CLM
HG01383 2 0 0 1 CLM
HG01384 2 0 0 2 CLM
HG01389 1 0 0 1 CLM
HG01390 2 0 0 2 CLM
HG01392 2 0 0 1 PUR
HG01393 3 0 0 2 PUR
HG01395 3 0 0 1 PUR
HG01396 3 0 0 2 PUR
HG01398 1 0 0 1 PUR
HG01402 2 0 0 1 PUR
HG01403 1 0 0 2 PUR
HG01405 1 0 0 1 PUR
HG01412 3 0 0 1 PUR
HG01413 2 0 0 1 PUR
HG01414 1 0 0 2 PUR
HG01431 1 0 0 1 CLM
HG01432 2 0 0 2 CLM
HG01435 1 0 0 2 CLM
HG01437 1 0 0 1 CLM
HG01438 2 0 0 2 CLM
HG01440 3 0 0 1 CLM
HG01441 3 0 0 2 CLM
HG01443 1 0 0 1 CLM
HG01444 3 0 0 2 CLM
HG01447 1 0 0 2 CLM
HG01455 3 0 0 1 CLM
HG01456 1 0 0 2 CLM
HG01459 3 0 0 2 CLM
HG01461 2 0 0 1 CLM
HG01462 3 0 0 2 CLM
HG01464 3 0 0 1 CLM
HG01465 2 0 0 2 CLM
HG01468 2 0 0 2 CLM
HG01474 1 0 0 2 CLM
HG01479 3 0 0 1 CLM
HG01485 1 0 0 1 CLM
HG01486 1 0 0 2 CLM
HG01488 2 0 0 1 CLM
HG01489 3 0 0 2 CLM
HG01491 3 0 0 1 CLM
HG01492 3 0 0 2 CLM
HG01494 3 0 0 1 CLM
HG01495 1 0 0 2 CLM
HG01497 3 0 0 1 CLM
HG01498 3 0 0 2 CLM
HG01500 3 0 0 1 IBS
HG01501 2 0 0 2 IBS
HG01503 3 0 0 1 IBS
HG01504 1 0 0 2 IBS
HG01506 2 0 0 1 IBS
HG01507 1 0 0 2 IBS
HG01509 1 0 0 1 IBS
HG01510 3 0 0 2 IBS
HG01512 1 0 0 1 IBS
HG01513 3 0 0 2 IBS
HG01515 3 0 0 1 IBS
HG01516 1 0 0 2 IBS
HG01518 2 0 0 1 IBS
HG01519 1 0 0 2 IBS
HG01521 2 0 0 1 IBS
HG01522 1 0 0 2 IBS
HG01524 2 0 0 1 IBS
HG01525 3 0 0 2 IBS
HG01527 3 0 0 1 IBS
HG01528 2 0 0 2 IBS
HG01530 3 0 0 1 IBS
HG01531 2 0 0 2 IBS
HG01536 2 0 0 1 IBS
HG01537 1 0 0 2 IBS
HG01550 3 0 0 1 CLM
HG01551 3 0 0 2 CLM
HG01556 1 0 0 1 CLM
HG01565 3 0 0 1 PEL
HG01566 1 0 0 2 PEL
HG01571 2 0 0 1 PEL
HG01572 3 0 0 2 PEL
HG01577 3 0 0 1 PEL
HG01578 3 0 0 2 PEL
HG01583 3 0 0 1 PJL
HG01586 2 0 0 1 PJL
HG01589 1 0 0 1 PJL
HG01593 2 0 0 2 PJL
HG01595 1 0 0 2 KHV
HG01596 3 0 0 1 KHV
HG01597 2 0 0 2 KHV
HG01598 2 0 0 2 KHV
HG01599 2 0 0 2 KHV
HG01600 1 0 0 2 KHV
HG01602 2 0 0 2 IBS
HG01603 2 0 0 1 IBS
HG01605 1 0 0 2 IBS
HG01606 3 0 0 1 IBS
HG01607 2 0 0 2 IBS
HG01608 2 0 0 1 IBS
HG01610 2 0 0 1 IBS
HG01612 1 0 0 2 IBS
HG01613 1 0 0 2 IBS
HG01615 3 0 0 1 IBS
HG01617 1 0 0 1 IBS
HG01618 2 0 0 2 IBS
HG01619 3 0 0 1 IBS
HG01620 2 0 0 2 IBS
HG01623 1 0 0 2 IBS
HG01624 1 0 0 1 IBS
HG01625 3 0 0 1 IBS
HG01626 1 0 0 2 IBS
HG01628 3 0 0 2 IBS
HG01630 3 0 0 1 IBS
HG01631 3 0 0 1 IBS
HG01632 2 0 0 2 IBS
HG01668 2 0 0 2 IBS
HG01669 3 0 0 1 IBS
HG01670 2 0 0 2 IBS
HG01672 2 0 0 1 IBS
HG01673 1 0 0 2 IBS
HG01675 1 0 0 1 IBS
HG01676 3 0 0 2 IBS
HG01678 2 0 0 1 IBS
HG01679 3 0 0 2 IBS
HG01680 3 0 0 1 IBS
HG01682 1 0 0 1 IBS
HG01684 2 0 0 2 IBS
HG01685 3 0 0 2 IBS
HG01686 3 0 0 1 IBS
HG01694 1 0 0 1 IBS
HG01695 3 0 0 2 IBS
HG01697 2 0 0 2 IBS
HG01699 1 0 0 1 IBS
HG01700 3 0 0 1 IBS
HG01702 1 0 0 2 IBS
HG01704 3 0 0 2 IBS
HG01705 1 0 0 1 IBS
HG01707 3 0 0 2 IBS
HG01708 1 0 0 1 IBS
HG01709 3 0 0 1 IBS
HG01710 1 0 0 2 IBS
HG01746 3 0 0 2 IBS
HG01747 2 0 0 1 IBS
HG01756 1 0 0 1 IBS
HG01757 2 0 0 2 IBS
HG01761 3 0 0 1 IBS
HG01762 1 0 0 2 IBS
HG01765 2 0 0 1 IBS
HG01766 2 0 0 2 IBS
HG01767 3 0 0 1 IBS
HG01768 3 0 0 2 IBS
HG01770 3 0 0 2 IBS
HG01771 2 0 0 1 IBS
HG01773 1 0 0 2 IBS
HG01775 2 0 0 1 IBS
HG01776 2 0 0 2 IBS
HG01777 2 0 0 1 IBS
HG01779 1 0 0 2 IBS
HG01781 2 0 0 1 IBS
HG01783 3 0 0 1 IBS
HG01784 2 0 0 2 IBS
HG01785 2 0 0 1 IBS
HG01786 2 0 0 2 IBS
HG01789 2 0 0 1 GBR
HG01790 2 0 0 2 GBR
HG01791 3 0 0 1 GBR
HG01794 1 0 0 2 CDX
HG01795 1 0 0 2 CDX
HG01796 2 0 0 2 CDX
HG01797 3 0 0 2 CDX
HG01798 3 0 0 2 CDX
HG01799 3 0 0 2 CDX
HG01800 1 0 0 2 CDX
HG01801 2 0 0 2 CDX
HG01802 2 0 0 2 CDX
HG01804 3 0 0 2 CDX
HG01805 1 0 0 2 CDX
HG01806 3 0 0 2 CDX
HG01807 3 0 0 2 CDX
HG01808 1 0 0 2 CDX
HG01809 2 0 0 2 CDX
HG01810 1 0 0 1 CDX
HG01811 1 0 0 1 CDX
HG01812 2 0 0 2 CDX
HG01813 1 0 0 2 CDX
HG01815 2 0 0 2 CDX
HG01816 2 0 0 1 CDX
HG01817 3 0 0 2 CDX
HG01840 1 0 0 1 KHV
HG01841 3 0 0 2 KHV
HG01842 1 0 0 1 KHV
HG01843 1 0 0 2 KHV
HG01844 1 0 0 1 KHV
HG01845 2 0 0 2 KHV
HG01846 1 0 0 1 KHV
HG01847 3 0 0 2 KHV
HG01848 1 0 0 2 KHV
HG01849 1 0 0 1 KHV
HG01850 2 0 0 2 KHV
HG01851 1 0 0 2 KHV
HG01852 3 0 0 1 KHV
HG01853 2 0 0 2 KHV
HG01855 2 0 0 2 KHV
HG01857 1 0 0 2 KHV
HG01858 1 0 0 2 KHV
HG01859 3 0 0 2 KHV
HG01860 3 0 0 1 KHV
HG01861 1 0 0 1 KHV
HG01862 2 0 0 2 KHV
HG01863 2 0 0 2 KHV
HG01864 2 0 0 1 KHV
HG01865 1 0 0 1 KHV
HG01866 1 0 0 1 KHV
HG01867 3 0 0 1 KHV
HG01868 1 0 0 2 KHV
HG01869 3 0 0 2 KHV
HG01870 2 0 0 2 KHV
HG01871 1 0 0 2 KHV
HG01872 2 0 0 1 KHV
HG01873 3 0 0 1 KHV
HG01874 1 0 0 2 KHV
HG01878 1 0 0 2 KHV
HG01879 2 0 0 1 ACB
HG01880 2 0 0 2 ACB
HG01882 1 0 0 1 ACB
HG01883 1 0 0 2 ACB
HG01885 2 0 0 1 ACB
HG01886 3 0 0 2 ACB
HG01889 3 0 0 2 ACB
HG01890 3 0 0 1 ACB
HG01892 2 0 0 1 PEL
HG01893 3 0 0 2 PEL
HG01894 3 0 0 2 ACB
HG01896 1 0 0 2 ACB
HG01912 2 0 0 1 ACB
HG01914 2 0 0 1 ACB
HG01915 1 0 0 2 ACB
HG01917 1 0 0 1 PEL
HG01918 1 0 0 2 PEL
HG01920 2 0 0 1 PEL
HG01921 2 0 0 2 PEL
HG01923 1 0 0 1 PEL
HG01924 1 0 0 2 PEL
HG01926 1 0 0 1 PEL
HG01927 3 0 0 2 PEL
HG01932 1 0 0 1 PEL
HG01933 1 0 0 2 PEL
HG01935 2 0 0 1 PEL
HG01936 2 0 0 2 PEL
HG01938 3 0 0 1 PEL
HG01939 1 0 0 2 PEL
HG01941 3 0 0 1 PEL
HG01942 2 0 0 2 PEL
HG01944 1 0 0 1 PEL
HG01945 2 0 0 2 PEL
HG01947 1 0 0 1 PEL
HG01948 1 0 0 2 PEL
HG01950 3 0 0 1 PEL
HG01951 2 0 0 2 PEL
HG01953 3 0 0 1 PEL
HG01954 3 0 0 2 PEL
HG01956 1 0 0 2 ACB
HG01958 2 0 0 2 ACB
HG01961 1 0 0 1 PEL
HG01965 2 0 0 2 PEL
HG01967 1 0 0 1 PEL
HG01968 2 0 0 2 PEL
HG01970 3 0 0 1 PEL
HG01971 1 0 0 2 PEL
HG01973 1 0 0 2 PEL
HG01974 2 0 0 1 PEL
HG01976 3 0 0 2 PEL
HG01977 1 0 0 1 PEL
HG01979 1 0 0 1 PEL
HG01980 1 0 0 2 PEL
HG01982 2 0 0 1 PEL
HG01985 3 0 0 2 ACB
HG01986 3 0 0 1 ACB
HG01988 3 0 0 1 ACB
HG01989 2 0 0 2 ACB
HG01990 3 0 0 1 ACB
HG01991 3 0 0 1 PEL
HG01992 2 0 0 2 PEL
HG01997 2 0 0 2 PEL
HG02002 2 0 0 1 PEL
HG02003 3 0 0 2 PEL
HG02006 2 0 0 2 PEL
HG02008 3 0 0 1 PEL
HG02009 3 0 0 1 ACB
HG02010 3 0 0 2 ACB
HG02012 1 0 0 2 ACB
HG02013 1 0 0 1 ACB
HG02014 3 0 0 1 ACB
HG02016 2 0 0 2 KHV
HG02017 1 0 0 1 KHV
HG02019 2 0 0 2 KHV
HG02020 1 0 0 1 KHV
HG02023 2 0 0 1 KHV
HG02025 2 0 0 2 KHV
HG02026 2 0 0 1 KHV
HG02028 2 0 0 2 KHV
HG02029 2 0 0 1 KHV
HG02031 2 0 0 2 KHV
HG02032 3 0 0 1 KHV
HG02035 3 0 0 1 KHV
HG02040 3 0 0 1 KHV
HG02047 3 0 0 1 KHV
HG02048 1 0 0 2 KHV
HG02049 1 0 0 2 KHV
HG02050 2 0 0 1 KHV
HG02051 1 0 0 1 ACB
HG02052 1 0 0 2 ACB
HG02053 2 0 0 1 ACB
HG02054 2 0 0 2 ACB
HG02057 3 0 0 2 KHV
HG02058 3 0 0 1 KHV
HG02060 2 0 0 2 KHV
HG02061 3 0 0 1 KHV
HG02064 2 0 0 1 KHV
HG02067 2 0 0 1 KHV
HG02069 2 0 0 2 KHV
HG02070 3 0 0 1 KHV
HG02072 3 0 0 2 KHV
HG02073 3 0 0 1 KHV
HG02075 2 0 0 2 KHV
HG02076 3 0 0 1 KHV
HG02078 2 0 0 2 KHV
HG02079 3 0 0 1 KHV
HG02081 2 0 0 2 KHV
HG02082 2 0 0 1 KHV
HG02084 3 0 0 2 KHV
HG02085 3 0 0 1 KHV
HG02086 3 0 0 2 KHV
HG02087 2 0 0 2 KHV
HG02088 1 0 0 1 KHV
HG02089 2 0 0 2 PEL
HG02090 2 0 0 1 PEL
HG02095 3 0 0 2 ACB
HG02102 3 0 0 2 PEL
HG02104 1 0 0 1 PEL
HG02105 2 0 0 2 PEL
HG02107 1 0 0 1 ACB
HG02108 3 0 0 2 ACB
HG02111 2 0 0 2 ACB
HG02113 1 0 0 2 KHV
HG02116 2 0 0 1 KHV
HG02121 2 0 0 2 KHV
HG02122 1 0 0 1 KHV
HG02127 1 0 0 2 KHV
HG02128 2 0 0 1 KHV
HG02130 1 0 0 2 KHV
HG02131 1 0 0 1 KHV
HG02133 2 0 0 2 KHV
HG02134 1 0 0 1 KHV
HG02136 2 0 0 2 KHV
HG02137 2 0 0 1 KHV
HG02138 3 0 0 1 KHV
HG02139 1 0 0 2 KHV
HG02140 1 0 0 2 KHV
HG02141 3 0 0 1 KHV
HG02142 1 0 0 2 KHV
HG02143 2 0 0 1 ACB
HG02144 1 0 0 2 ACB
HG02146 3 0 0 1 PEL
HG02147 3 0 0 2 PEL
HG02150 2 0 0 1 PEL
HG02151 2 0 0 2 CDX
HG02152 2 0 0 2 CDX
HG02153 3 0 0 2 CDX
HG02154 2 0 0 2 CDX
